Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
1381	GCA_029226425.1	2221644	245	11647	61.68873141	92.15	4.65	GCA_029226425.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN32799241	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1382	GCA_036831225.1	3040794	94	60855	57.77402174	94.63	4.7	GCA_036831225.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN28750631	PRJNA843551	NA	NA	Human	gut	NA	High	yes	sp000432135
1384	GCA_004554725.1	2055966	117	25266	61.83015672	90.6	0.67	GCA_004554725.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN10183793	PRJNA494875	Canada	North America	Wild boar	gut	Edmonton	High	yes	sp002404795
1387	GCA_958436705.1	3063780	35	200806	57.37647612	95.3	2.01	GCA_958436705.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114066053	PRJEB63161	China	Asia	Human	gut	NA	High	yes	sp000432135
1390	GCA_037315605.1	2058142	342	7669	61.89849874	91.66	2.85	GCA_037315605.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37827292	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1391	GCA_934630615.1	2302016	73	51076	58.82695863	93.29	2.01	GCA_934630615.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA13513548	PRJEB49206	USA	North America	Human	gut	NA	High	yes	sp000432135
1393	GCA_958346665.1	2338367	135	24364	59.06232854	93.29	1.01	GCA_958346665.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114060530	PRJEB62833	NA	NA	Human	gut	NA	High	yes	sp000432135
1394	GCA_963660785.1	3385966	174	35293	55.95768606	92.74	3.02	GCA_963660785.1	460511	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114588843	PRJEB68160	Cote_d'Ivoire	Africa	Human	gut	NA	High	yes	sp900545925
1397	GCA_037370025.1	2125309	257	12547	62.0186994	94.44	1.34	GCA_037370025.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37829578	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1398	GCA_905187775.1	2395539	91	40641	58.74343937	91.09	0.67	GCA_905187775.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA7847831	PRJEB37358	Spain	Europe	Human	gut	NA	High	yes	sp000432135
1405	GCA_958438215.1	2690566	119	35018	56.33316559	91.95	0.67	GCA_958438215.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114060790	PRJEB62833	NA	NA	Human	gut	NA	High	yes	sp900545925
1406	GCA_902475165.1	1981843	136	25383	60.36593211	91.38	0.67	GCA_902475165.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	SAMEA5851538	PRJEB33885	China	Asia	Human	gut	NA	High	yes	sp900553545
1408	GCA_934835965.1	2670953	130	52797	56.26745515	92.15	1.01	GCA_934835965.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566413	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1409	GCA_900549635.1	2169390	131	23106	57.29435463	91	1.9	GCA_900549635.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMEA4891853	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp900549635
1410	GCA_034088525.1	2135190	141	24233	59.2643746	91.28	2.68	GCA_034088525.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN37948501	PRJNA779404	Canada	North America	Pig	gut	Lacombe	High	yes	sp000436735
1411	GCA_037436665.1	2008903	107	30441	57.31765048	91.95	0.67	GCA_037436665.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN37831194	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp003516765
1414	GCA_018265525.1	2203547	190	16444	59.47973644	91.81	2.01	GCA_018265525.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN14944927	PRJNA593787	Austria	Europe	Human	gut	Vienna	High	yes	sp000436735
1415	GCA_037269015.1	2223778	246	15440	61.74181955	91.16	1.34	GCA_037269015.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37826009	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1420	GCA_021641925.1	2210055	209	17443	59.13218285	91.23	4	GCA_021641925.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp934668295	SAMN23483762	PRJNA678454	South_Africa	Africa	Human	gut	Bushbuckridge_Mpumalanga	High	yes	sp934668295
1421	GCA_959607435.1	3094037	72	71914	55.80608765	93.06	1.34	GCA_959607435.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114095923	PRJEB63177	Malaysia	Asia	Human	gut	NA	High	yes	sp900545925
1424	GCA_037232415.1	2071554	133	24280	57.34033484	93.81	4.03	GCA_037232415.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN37824320	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp003516765
1425	GCA_958351235.1	2821264	71	59574	56.08390424	92.39	0.36	GCA_958351235.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114062798	PRJEB62820	Germany	Europe	Human	gut	NA	High	yes	sp900545925
1430	GCA_037324505.1	2199634	134	25168	59.16966186	90.37	1.34	GCA_037324505.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN37827676	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp000432135
1431	GCA_905197215.1	2479057	218	20250	59.15475118	91.44	0.67	GCA_905197215.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA7847648	PRJEB37358	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
1433	GCA_004555655.1	1970220	63	49057	59.5169575	95.41	1.34	GCA_004555655.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp004555655	SAMN10183766	PRJNA494875	Canada	North America	Wild boar	gut	Edmonton	High	yes	sp004555655
1438	GCA_905213545.1	2216807	85	35869	59.02146646	92.28	1.34	GCA_905213545.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA7848229	PRJEB37358	Spain	Europe	Human	gut	NA	High	yes	sp900548625
1439	GCA_959020755.1	3373332	44	169193	55.56091129	93.96	1.68	GCA_959020755.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114096453	PRJEB63337	China	Asia	Human	gut	NA	High	yes	sp900545925
1440	GCA_902464685.1	2239520	251	13071	61.50693006	93.38	0	GCA_902464685.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA5850153	PRJEB33885	Germany	Europe	Human	gut	NA	High	yes	sp002404795
1442	GCA_934661135.1	2293390	202	21015	57.32461553	92.11	4.42	GCA_934661135.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp934661135	SAMEA13477893	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp934661135
1444	GCA_959607995.1	1755284	176	13745	57.87787048	90.46	0.34	GCA_959607995.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA114122641	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp003516765
1445	GCA_945874875.1	2412592	123	39455	56.79799983	94.63	0.67	GCA_945874875.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA110403187	PRJEB53025	China	Asia	Pig	gut	NA	High	yes	sp003516765
1447	GCA_022781885.1	2282612	91	34625	61.11669438	91.95	1.34	GCA_022781885.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN26525528	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1448	GCA_036809455.1	2655023	183	23019	58.71394478	92.26	1.51	GCA_036809455.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN28749734	PRJNA843551	NA	NA	Human	gut	NA	High	yes	sp000432135
1449	GCA_900548625.1	2249943	88	35869	59.05811836	93.96	2.01	GCA_900548625.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA4891754	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp900548625
1454	GCA_958448855.1	3122487	128	51239	57.51008731	93.57	1.68	GCA_958448855.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114061961	PRJEB62825	China	Asia	Cattle	gut	NA	High	yes	sp000432135
1458	GCA_000436735.1	2460168	375	10590	58.68613765	92	1.34	GCA_000436735.1	1263006	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA3138721	PRJEB739	NA	NA	Human	gut	NA	High	yes	sp000436735
1460	GCA_037338205.1	2081108	83	38590	57.35454383	94.38	1.63	GCA_037338205.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN37828409	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp003516765
1462	GCA_958440795.1	2475124	98	37985	60.60819579	94.63	1.01	GCA_958440795.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114062721	PRJEB62820	Germany	Europe	Human	gut	NA	High	yes	sp002404795
1464	GCA_022770025.1	1960737	228	11525	59.2583299	91.29	3.66	GCA_022770025.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp004555655	SAMN26525243	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp004555655
1465	GCA_029012045.1	1854526	120	23988	57.68261	92.22	1.01	GCA_029012045.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN32798913	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp003516765
1467	GCA_037248705.1	2109012	344	8503	61.82842962	90.38	0.67	GCA_037248705.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37825459	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1470	GCA_016297855.1	1825811	187	14603	56.98136335	91.43	2.68	GCA_016297855.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp016297855	SAMN16927241	PRJNA647157	China	Asia	Pig	gut	Xizang	High	yes	sp016297855
1476	S72204A_bin_4	1951146	216	12793	-	91.49	1.51	CNA0009305	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178507	CNP0000824	China	Asia	Pig	gut	NA	High	yes	NA
1477	S93310B_bin_18	2303753	262	12419	-	92.41	2.48	CNA0009392	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178513	CNP0000824	China	Asia	Pig	gut	NA	High	yes	NA
1483	LW1-s151260_bin_10	2561514	61	60206	-	98.66	1.34	CNA0011060	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178583	CNP0000824	China	Asia	Pig	gut	NA	High	yes	NA
1484	LW2-s126572_bin_26	2035065	193	17519	-	96.77	2.48	CNA0011141	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178592	CNP0000824	China	Asia	Pig	gut	NA	High	yes	NA
1485	LW2-s127530_bin_14	2135236	86	48134	-	96.29	1.34	CNA0011250	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178599	CNP0000824	China	Asia	Pig	gut	NA	High	yes	NA
1487	W4950_bin_7	2431166	197	17953	-	94.63	0.73	CNA0012609	-	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	CNS0178933	CNP0000824	China	Asia	Pig	gut	NA	High	yes	sp002404795
1490	GCA_916988195.3_POC01_20211130	3213277	78	93582	55.3	94.63	1.48	GCA_916988195.3	-	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	SAMEA9990741	PRJEB47943	France	Europe	Human	gut	NA	High	yes	sp900549635
